gamma,Load
-0.001652898,-12.45
-0.001797236,-13.38
-0.001559037,-11.13
-0.001419102,-9.51
-0.001213104,-7.87
-0.001110163,-6.44
-0.000939625,-5.13
-0.000753436,-4.05
-0.000595485,-2.91
-0.000502,-2
-0.000398995,-1.23
-0.000313239,-0.6
-0.000211831,-0.15
-0.000252461,0
-0.000126581,0.24
-0.000146312,0.41
-0.000149365,0.62
-0.00011932,0.9
9.52E-05,1.74
0.000261879,2.95
0.000511833,4.16
0.000739745,5.54
0.00096376,6.77
0.001197036,7.91
0.001378497,9.18
0.001414725,9.27
0.00151638,9.8
0.001564622,10.35
0.001655353,10.98
0.001762567,11.71
0.001877705,12.34
0.001998272,13.16
0.002076546,14.03
0.002179799,14.56
0.002293209,14.99
0.002062869,12.79
0.001888564,11.23
0.0016795,9.37
0.00145555,7.79
0.001288208,6.28
0.00110598,5.04
0.000885291,3.49
0.000681786,2.27
0.000447549,1.1
0.000276245,0.34
0.000210168,0.03
0.000276933,-0.02
0.000206765,-0.25
0.000173525,-0.48
0.000145975,-0.87
0.00011293,-1.38
7.50E-05,-2.11
-5.87E-05,-2.89
-0.000216728,-3.76
-0.000371548,-4.72
-0.000546749,-5.8
-0.000723677,-7.13
-0.000956252,-8.02
-0.000931078,-8.02
-0.000984049,-8.44
-0.001078677,-8.89
-0.001140974,-9.16
-0.001245759,-9.63
-0.001285312,-10.09
-0.001327293,-10.54
-0.001480828,-11.02
-0.001531499,-11.74
-0.001640376,-12.41
-0.001801899,-13.23
-0.001661263,-11.24
-0.00144677,-9.72
-0.001336737,-8.29
-0.001179617,-6.91
-0.000999623,-5.56
-0.000807043,-4.25
-0.000658418,-3.02
-0.000484621,-1.92
-0.000405126,-1.08
-0.000302951,-0.52
-0.000172343,0.01
-0.00019449,0.37
-0.000132686,0.68
2.04E-05,1.4
0.000285584,3.05
0.000638856,4.89
0.000969319,6.7
0.001271348,8.64
0.001540345,10.49
0.001827293,12.31
0.002256345,15.21
0.002393461,15.83
0.002498311,16.42
0.002589809,17.01
0.002673512,17.55
0.002763412,18.11
0.002878484,18.55
0.002969215,18.98
0.003017458,19.5
0.003164796,20.03
0.003297885,20.38
0.003306835,20.87
0.003450978,21.27
0.00349609,21.77
0.003677292,22.33
0.003385356,18.84
0.003074572,16.19
0.002758995,13.54
0.002457603,11.04
0.00204306,8.58
0.001777193,6.54
0.001412231,4.57
0.001099148,2.7
0.000749006,1.1
0.000554503,0.15
0.000519354,-0.01
